Blog Name,Owner,Site Link,Submission Guidelines,Contact,Notes
WhatItDoes ,Josh,,,,
What Is Hip Hop ,Josh,,,,
What Is HipHop? ,Josh,,,,
Whatiz ,Josh,,,,
When The Beat Drops ,Josh,,,,
Where's My 40 Acres ,Josh,,,,
White Men Can't Blog ,Josh,,,,
Whutupdoe WhyNotOnDemand ,Josh,,,,
WhyTFNot.wordpress.com ,Josh,,,,
Wolf Shirt Extremist ,Josh,,,,
Worldstar Promo ,Josh,,,,
Womazing ,Josh,,,,
Word Is Bond ,Josh,,,,
Wordplay Magazine ,Josh,,,,
Worldcomeup ,Josh,,,,
World Stream Media ,Josh,,,,
XClusives Zone ,Josh,,,,
XXL Mag ,Josh,,,,
Yappari HipHop ,Josh,,,,
Yet Another Hip-Hop Blog ,Josh,,,,
You Heard That New ,Josh,,,,
Your Music Fix ,Josh,,,,
Zillanoise ,Josh,http://zillanoise.com/contact/,"quick bio, working Soundcloud/Bandcamp/Youtube links, proper cover art and all social network links",zillanoise@gmail.com,
Zona Suburbana,Josh,,,,
